epoch = 001, accuracy = 29.690%
epoch = 002, accuracy = 43.890%
epoch = 003, accuracy = 50.780%
epoch = 004, accuracy = 51.140%
epoch = 005, accuracy = 52.540%
epoch = 006, accuracy = 57.990%
epoch = 007, accuracy = 52.690%
epoch = 008, accuracy = 55.820%
epoch = 009, accuracy = 60.430%
epoch = 010, accuracy = 61.350%
epoch = 011, accuracy = 60.060%
epoch = 012, accuracy = 62.910%
epoch = 013, accuracy = 58.830%
epoch = 014, accuracy = 60.360%
epoch = 015, accuracy = 66.650%
epoch = 016, accuracy = 62.880%
epoch = 017, accuracy = 60.010%
epoch = 018, accuracy = 65.280%
epoch = 019, accuracy = 67.850%
epoch = 020, accuracy = 69.260%
epoch = 021, accuracy = 67.070%
epoch = 022, accuracy = 70.130%
epoch = 023, accuracy = 69.180%
epoch = 024, accuracy = 71.670%
epoch = 025, accuracy = 74.030%
epoch = 026, accuracy = 72.370%
epoch = 027, accuracy = 71.580%
epoch = 028, accuracy = 71.380%
epoch = 029, accuracy = 72.700%
epoch = 030, accuracy = 72.160%
epoch = 031, accuracy = 72.380%
epoch = 032, accuracy = 75.670%
epoch = 033, accuracy = 71.580%
epoch = 034, accuracy = 72.760%
epoch = 035, accuracy = 75.200%
epoch = 036, accuracy = 74.710%
epoch = 037, accuracy = 76.620%
epoch = 038, accuracy = 73.740%
epoch = 039, accuracy = 72.690%
epoch = 040, accuracy = 75.990%
